,Survived,Sex,Age
664,1,1,20.0
665,-1,1,32.0
666,-1,1,25.0
668,-1,1,43.0
670,1,0,40.0
671,-1,1,31.0
672,-1,1,70.0
673,1,1,31.0
675,-1,1,18.0
676,-1,1,24.5
677,1,0,18.0
678,-1,0,43.0
679,1,1,36.0
681,1,1,27.0
682,-1,1,20.0
683,-1,1,14.0
684,-1,1,60.0
685,-1,1,25.0
686,-1,1,14.0
687,-1,1,19.0
688,-1,1,18.0
689,1,0,15.0
690,1,1,31.0
691,1,0,4.0
693,-1,1,25.0
694,-1,1,60.0
695,-1,1,52.0
696,-1,1,44.0
698,-1,1,49.0
699,-1,1,42.0
700,1,0,18.0
701,1,1,35.0
702,-1,0,18.0
703,-1,1,25.0
704,-1,1,26.0
705,-1,1,39.0
706,1,0,45.0
707,1,1,42.0
708,1,0,22.0
710,1,0,24.0
712,1,1,48.0
713,-1,1,29.0
714,-1,1,52.0
715,-1,1,19.0
716,1,0,38.0
717,1,0,27.0
719,-1,1,33.0
720,1,0,6.0
721,-1,1,17.0
722,-1,1,34.0
723,-1,1,50.0
724,1,1,27.0
725,-1,1,20.0
726,1,0,30.0
728,-1,1,25.0
729,-1,0,25.0
730,1,0,29.0
731,-1,1,11.0
733,-1,1,23.0
734,-1,1,23.0
735,-1,1,28.5
736,-1,0,48.0
737,1,1,35.0
741,-1,1,36.0
742,1,0,21.0
743,-1,1,24.0
744,1,1,31.0
745,-1,1,70.0
746,-1,1,16.0
747,1,0,30.0
748,-1,1,19.0
749,-1,1,31.0
750,1,0,4.0
751,1,1,6.0
752,-1,1,33.0
753,-1,1,23.0
754,1,0,48.0
755,1,1,0.67
756,-1,1,28.0
757,-1,1,18.0
758,-1,1,34.0
759,1,0,33.0
761,-1,1,41.0
762,1,1,20.0
763,1,0,36.0
764,-1,1,16.0
765,1,0,51.0
767,-1,0,30.5
769,-1,1,32.0
770,-1,1,24.0
771,-1,1,48.0
772,-1,0,57.0
774,1,0,54.0
775,-1,1,18.0
777,1,0,5.0
779,1,0,43.0
780,1,0,13.0
781,1,0,17.0
782,-1,1,29.0
784,-1,1,25.0
785,-1,1,25.0
786,1,0,18.0
787,-1,1,8.0
788,1,1,1.0
789,-1,1,46.0
791,-1,1,16.0
794,-1,1,25.0
795,-1,1,39.0
796,1,0,49.0
797,1,0,31.0
798,-1,1,30.0
799,-1,0,30.0
800,-1,1,34.0
801,1,0,31.0
802,1,1,11.0
803,1,1,0.42
804,1,1,27.0
805,-1,1,31.0
806,-1,1,39.0
807,-1,0,18.0
808,-1,1,39.0
809,1,0,33.0
810,-1,1,26.0
811,-1,1,39.0
812,-1,1,35.0
813,-1,0,6.0
814,-1,1,30.5
816,-1,0,23.0
817,-1,1,31.0
818,-1,1,43.0
819,-1,1,10.0
820,1,0,52.0
821,1,1,27.0
822,-1,1,38.0
823,1,0,27.0
824,-1,1,2.0
827,1,1,1.0
829,1,0,62.0
830,1,0,15.0
831,1,1,0.83
833,-1,1,23.0
834,-1,1,18.0
835,1,0,39.0
836,-1,1,21.0
838,1,1,32.0
840,-1,1,20.0
841,-1,1,16.0
842,1,0,30.0
843,-1,1,34.5
844,-1,1,17.0
845,-1,1,42.0
847,-1,1,35.0
848,-1,1,28.0
850,-1,1,4.0
851,-1,1,74.0
852,-1,0,9.0
853,1,0,16.0
854,-1,0,44.0
855,1,0,18.0
856,1,0,45.0
857,1,1,51.0
858,1,0,24.0
860,-1,1,41.0
861,-1,1,21.0
862,1,0,48.0
864,-1,1,24.0
865,1,0,42.0
866,1,0,27.0
867,-1,1,31.0
869,1,1,4.0
870,-1,1,26.0
871,1,0,47.0
872,-1,1,33.0
873,-1,1,47.0
874,1,0,28.0
875,1,0,15.0
876,-1,1,20.0
877,-1,1,19.0
879,1,0,56.0
880,1,0,25.0
881,-1,1,33.0
882,-1,0,22.0
883,-1,1,28.0
884,-1,1,25.0
885,-1,0,39.0
886,-1,1,27.0
887,1,0,19.0
889,1,1,26.0
890,-1,1,32.0
